lengthrank,posnegdif,error
0.0,-3.0,0.0
0.0,-2.0,0.1
0.0,-1.0,0.08163265306122448
0.0,0.0,0.30357142857142855
0.0,1.0,0.2833333333333333
0.0,2.0,0.3181818181818182
0.0,3.0,0.0
0.0,4.0,0.0
1.0,-8.0,0.0
1.0,-5.0,0.0
1.0,-4.0,0.0
1.0,-3.0,0.041666666666666664
1.0,-2.0,0.10135135135135136
1.0,-1.0,0.12944983818770225
1.0,0.0,0.23251748251748253
1.0,1.0,0.21369294605809128
1.0,2.0,0.20474777448071216
1.0,3.0,0.13714285714285715
1.0,4.0,0.06930693069306931
1.0,5.0,0.0
1.0,6.0,0.10714285714285714
1.0,7.0,0.0
1.0,8.0,0.0
1.0,9.0,0.0
2.0,-10.0,0.0
2.0,-9.0,0.0
2.0,-8.0,0.0
2.0,-7.0,0.0
2.0,-6.0,0.05
2.0,-5.0,0.0
2.0,-4.0,0.042105263157894736
2.0,-3.0,0.07462686567164178
2.0,-2.0,0.10526315789473684
2.0,-1.0,0.10882352941176471
2.0,0.0,0.19239373601789708
2.0,1.0,0.18181818181818182
2.0,2.0,0.14905149051490515
2.0,3.0,0.1423841059602649
2.0,4.0,0.13654618473895583
2.0,5.0,0.10880829015544041
2.0,6.0,0.05970149253731343
2.0,7.0,0.08139534883720931
2.0,8.0,0.07894736842105263
2.0,9.0,0.075
2.0,10.0,0.038461538461538464
2.0,11.0,0.1
2.0,12.0,0.0
2.0,13.0,0.0
2.0,14.0,0.0
2.0,15.0,0.0
2.0,18.0,0.0
3.0,-6.0,0.3333333333333333
3.0,-5.0,0.16666666666666666
3.0,-4.0,0.14285714285714285
3.0,-3.0,0.09090909090909091
3.0,-2.0,0.125
3.0,-1.0,0.05555555555555555
3.0,0.0,0.07692307692307693
3.0,1.0,0.1111111111111111
3.0,2.0,0.1875
3.0,3.0,0.0
3.0,4.0,0.3333333333333333
3.0,5.0,0.07692307692307693
3.0,6.0,0.3
3.0,7.0,0.4
3.0,8.0,0.1
3.0,9.0,0.4
3.0,10.0,0.1111111111111111
3.0,11.0,0.0
3.0,12.0,0.0
3.0,13.0,0.0
3.0,14.0,0.0
3.0,15.0,0.0
3.0,17.0,0.0
3.0,18.0,0.0
3.0,21.0,1.0
